term	body_site	phylum	family	refOTUs	ref_mOTU_cluster	prev.oral	prev.gut	R2	p.adj
center	both	32066 Fusobacteria	203492 Fusobacteriaceae	851 Fusobacterium nucleatum subsp. polymorphum [C]	ref_mOTU_v2_0131	82.83	14.71	3.36	0.0138
center	feces	1239 Firmicutes	541000 Ruminococcaceae	853 Faecalibacterium prausnitzii	ref_mOTU_v2_4910	15.15	85.29	2.23	0.015274358974359
center	both	1239 Firmicutes	1300 Streptococcaceae	1301 Streptococcus sp. [C infantis/mitis]	ref_mOTU_v2_0683	97.98	54.41	1.74	0.015274358974359
center	both	32066 Fusobacteria	203492 Fusobacteriaceae	1583098 Fusobacterium hwasookii	ref_mOTU_v2_0130	53.54	6.62	7.25	0.0191475
center	both	1239 Firmicutes	1300 Streptococcaceae	28037 Streptococcus mitis	ref_mOTU_v2_0033	90.91	8.82	1.73	0.0197906976744186
center	saliva	976 Bacteroidetes	171552 Prevotellaceae	76122 Alloprevotella tannerae	ref_mOTU_v2_4636	94.95	4.41	3.59	0.0197906976744186
center	both	976 Bacteroidetes	171552 Prevotellaceae	470565 Prevotella histicola	ref_mOTU_v2_0907	90.91	5.15	2.87	0.0197906976744186
center	saliva	201174 Actinobacteria	2049 Actinomycetaceae	712124 Actinomyces sp. oral taxon 448	ref_mOTU_v2_5106	53.54	12.5	9.34	0.0208022222222222
center	saliva	976 Bacteroidetes	171552 Prevotellaceae	470565 Prevotella histicola	ref_mOTU_v2_0907	90.91	5.15	2.97	0.0208022222222222
center	both	1224 Proteobacteria	481 Neisseriaceae	505 Kingella oralis	ref_mOTU_v2_4641	69.7	0	3.36	0.021275
center	both	1239 Firmicutes	186803 Lachnospiraceae	658655 Lachnospiraceae bacterium 1_4_56FAA	ref_mOTU_v2_4723	0	38.97	1.97	0.021275
center	saliva	1239 Firmicutes	1300 Streptococcaceae	28037 Streptococcus mitis	ref_mOTU_v2_0029	90.91	11.76	1.76	0.021275
center	saliva	1239 Firmicutes	1300 Streptococcaceae	1095726 Streptococcus sp. SK140	ref_mOTU_v2_1746	94.95	22.79	2.05	0.0233607843137255
center	both	1239 Firmicutes	1300 Streptococcaceae	28037 Streptococcus mitis	ref_mOTU_v2_0028	98.99	16.91	1.62	0.0233607843137255
center	both	1239 Firmicutes	1300 Streptococcaceae	28037 Streptococcus mitis	ref_mOTU_v2_0031	100	58.09	1.51	0.0233607843137255
center	both	1239 Firmicutes	1300 Streptococcaceae	28037 Streptococcus mitis	ref_mOTU_v2_0030	97.98	27.94	1.62	0.0236388888888889
center	both	1239 Firmicutes	1300 Streptococcaceae	68892 Streptococcus infantis	ref_mOTU_v2_5047	91.92	21.32	1.8	0.0236388888888889
center	both	201174 Actinobacteria	1653 Corynebacteriaceae	61592 Corynebacterium durum	ref_mOTU_v2_1615	65.66	11.76	4.95	0.0236388888888889
center	both	1239 Firmicutes	31977 Veillonellaceae	39778 Veillonella dispar	ref_mOTU_v2_4469	95.96	50	1.73	0.0247563636363636
center	saliva	1224 Proteobacteria	481 Neisseriaceae	505 Kingella oralis	ref_mOTU_v2_4641	69.7	0	3.36	0.025380701754386
center	saliva	1239 Firmicutes	186828 Carnobacteriaceae	46124 Granulicatella adiacens	ref_mOTU_v2_4659	97.98	44.12	2.85	0.025380701754386
center	both	1239 Firmicutes	1300 Streptococcaceae	45634 Streptococcus cristatus	ref_mOTU_v2_1525	76.77	15.44	2.76	0.0274050847457627
center	both	201174 Actinobacteria	2049 Actinomycetaceae	1203556 Actinomyces sp. HPA0247	ref_mOTU_v2_2506	95.96	27.94	3.55	0.0274050847457627
center	both	1239 Firmicutes	1300 Streptococcaceae	1095726 Streptococcus sp. SK140	ref_mOTU_v2_1746	94.95	22.79	1.74	0.029785
center	feces	1239 Firmicutes	186803 Lachnospiraceae	658655 Lachnospiraceae bacterium 1_4_56FAA	ref_mOTU_v2_4723	0	38.97	1.9	0.0306918032786885
center	both	1224 Proteobacteria	712 Pasteurellaceae	732 Aggregatibacter aphrophilus	ref_mOTU_v2_1461	57.58	4.41	10.32	0.0315693548387097
center	saliva	976 Bacteroidetes	171552 Prevotellaceae	282402 Prevotella multiformis	ref_mOTU_v2_5115	29.29	0	2.61	0.0324190476190476
center	both	1239 Firmicutes	541000 Ruminococcaceae	169435 Anaerotruncus colihominis	ref_mOTU_v2_0884	0	57.35	1.63	0.0359015625
center	both	976 Bacteroidetes	171550 Rikenellaceae	1288121 Alistipes senegalensis	ref_mOTU_v2_1594	1.01	41.91	2.92	0.0379676923076923
center	both	1239 Firmicutes	1300 Streptococcaceae	1301 Streptococcus sp. [C equinus/infantarius/lutetiensis]	ref_mOTU_v2_0261	20.2	14.71	3.84	0.0412606060606061
center	both	201174 Actinobacteria	2049 Actinomycetaceae	1105029 Actinomyces sp. ICM39	ref_mOTU_v2_0376	95.96	40.44	2.25	0.0412985294117647
center	both	976 Bacteroidetes	171550 Rikenellaceae	328813 Alistipes onderdonkii [C]	ref_mOTU_v2_0775	28.28	82.35	4.93	0.0412985294117647
center	both	1239 Firmicutes	1300 Streptococcaceae	1203590 Streptococcus sp. HPH0090	ref_mOTU_v2_2507	94.95	27.21	2.34	0.0437
center	both	1239 Firmicutes	1300 Streptococcaceae	1316408 Streptococcus sp. HSISM1	ref_mOTU_v2_0145	95.96	69.12	1	0.0437
center	both	1239 Firmicutes	1300 Streptococcaceae	999425 Streptococcus sp. F0442	ref_mOTU_v2_5298	84.85	38.24	1.21	0.0437
center	saliva	201174 Actinobacteria	2049 Actinomycetaceae	55565 Actinomyces graevenitzii	ref_mOTU_v2_1056	89.9	18.38	2.89	0.0437
center	saliva	32066 Fusobacteria	203492 Fusobacteriaceae	851 Fusobacterium nucleatum subsp. vincentii [C]	ref_mOTU_v2_0754	84.85	6.62	6.5	0.0437
center	both	976 Bacteroidetes	171552 Prevotellaceae	28134 Prevotella oralis	ref_mOTU_v2_0277	44.44	3.68	23.2	0.0437
center	both	201174 Actinobacteria	31953 Bifidobacteriaceae	78258 Parascardovia denticolens	ref_mOTU_v2_0747	33.33	4.41	4.64	0.0442077922077922
center	saliva	32066 Fusobacteria	203492 Fusobacteriaceae	851 Fusobacterium nucleatum subsp. polymorphum [C]	ref_mOTU_v2_0131	82.83	14.71	3.88	0.0442077922077922
center	saliva	976 Bacteroidetes	171552 Prevotellaceae	28127 Prevotella buccalis [C]	ref_mOTU_v2_0394	0	2.21	3.4	0.0442077922077922
center	both	201174 Actinobacteria	2049 Actinomycetaceae	55565 Actinomyces graevenitzii	ref_mOTU_v2_1056	89.9	18.38	2.35	0.0452430379746835
center	saliva	976 Bacteroidetes	171552 Prevotellaceae	28126 Prevotella buccae [C]	ref_mOTU_v2_0132	67.68	9.56	2.97	0.0452430379746835
center	saliva	976 Bacteroidetes	171552 Prevotellaceae	454154 Paraprevotella clara	ref_mOTU_v2_4942	3.03	54.41	3.42	0.04786875
center	feces	976 Bacteroidetes	171550 Rikenellaceae	1288121 Alistipes senegalensis	ref_mOTU_v2_1594	1.01	41.91	2.88	0.049379012345679
sex	both	1239 Firmicutes	186803 Lachnospiraceae	39491 [Eubacterium] rectale	ref_mOTU_v2_1416	22.22	90.44	2.16	0.0141833333333333
sex	both	1239 Firmicutes	1300 Streptococcaceae	113107 Streptococcus australis	ref_mOTU_v2_1524	86.87	39.71	2.2	0.0141833333333333
sex	both	1239 Firmicutes	1300 Streptococcaceae	1328 Streptococcus anginosus	ref_mOTU_v2_0004	70.71	41.91	13.25	0.0141833333333333
sex	both	1239 Firmicutes	1300 Streptococcaceae	1328 Streptococcus anginosus	ref_mOTU_v2_0005	30.3	25.74	14.43	0.0141833333333333
sex	feces	1239 Firmicutes	1300 Streptococcaceae	1328 Streptococcus anginosus	ref_mOTU_v2_0005	30.3	25.74	19.51	0.0141833333333333
sex	both	1239 Firmicutes	1300 Streptococcaceae	1328 Streptococcus anginosus	ref_mOTU_v2_0351	28.28	16.91	17.11	0.0141833333333333
smoker	saliva	1224 Proteobacteria	481 Neisseriaceae	267212 Neisseria bacilliformis	ref_mOTU_v2_5114	41.41	0	8.56	0.00607857142857143
smoker	both	1239 Firmicutes	31977 Veillonellaceae	39778 Veillonella dispar	ref_mOTU_v2_4469	95.96	50	2.14	0.00607857142857143
smoker	both	1239 Firmicutes	1300 Streptococcaceae	1303 Streptococcus oralis	ref_mOTU_v2_0354	87.88	14.71	2.65	0.00607857142857143
smoker	both	1239 Firmicutes	1300 Streptococcaceae	1303 Streptococcus oralis [C]	ref_mOTU_v2_0146	96.97	34.56	2.51	0.00607857142857143
smoker	both	1239 Firmicutes	1300 Streptococcaceae	1316408 Streptococcus sp. HSISM1	ref_mOTU_v2_0145	95.96	69.12	1.39	0.00607857142857143
